ARE,Arena Promos
CHP,Champs Promos
FNM,FNM Promos
GTW,Gateway Promos
GPX,Grand Prix Promos
JGC,Judge Promos
PRE,Prerelease Cards
PTR,Pro Tour Promos
REL,Release Event Cards
GTW,WPN Promos
HHL,Special Occasion
MIN,Media Promos
BIN,Media Promos
FBP,Media Promos
REL,Launch Party Cards
JUN,JSS/MSS Promos
MGD,Game Day Promos
BTD,Beatdown Box Set
BRB,Battle Royale Box Set
DDG,Duel Decks: Knights vs Dragons
LEA,Alpha Edition
LEB,Beta Edition
2ED,Unlimited Edition
3ED,Revised Edition
6ED,Classic Sixth Edition
7ED,7th Edition
8ED,8th Edition
9ED,9th Edition
10E,10th Edition
M10,Magic 2010 (M10)
M11,Magic 2011 (M11)
M12,Magic 2012 (M12)
RAV,Ravnica
TSB,Timeshifted